[이영호(테란)],userID = 1,4652,3383,346,271,1860,1270,2446,1842
[이제동(저그)],userID = 2,3294,1811,1335,621,1384,838,575,352
[진영화(토스)],userID = 3,1197,480,449,201,164,74,584,205
[김정우(저그)],userID = 4,2740,1567,1198,611,1139,737,403,219
[손주흥(테란)],userID = 5,254,69,45,8,96,25,113,36
[조기석(테란)],userID = 6,4779,2700,669,394,1887,1021,2223,1285
[윤용태(토스)],userID = 7,1069,521,535,273,165,78,369,170
[조병세(테란)],userID = 8,852,348,121,53,441,175,290,120
[한두열(저그)],userID = 9,2770,1294,1073,413,1066,516,631,365
[송병구(토스)],userID = 10,4002,1850,1635,718,756,393,1611,739
[김윤중(토스)],userID = 11,3472,1586,1226,561,313,175,1933,850
[임홍규(저그)],userID = 12,4920,2426,2803,1219,1700,1000,417,207
[윤찬희(테란)],userID = 13,2930,1399,257,106,1388,688,1285,605
[도재욱(토스)],userID = 14,4440,2451,2044,1207,482,266,1914,978
[허영무(토스)],userID = 15,302,106,169,62,61,21,72,23
[조일장(저그)],userID = 16,3514,1955,1465,711,1700,1066,349,178
[김민철(저그)],userID = 17,2851,1700,1418,780,1160,782,273,138
[정윤종(토스)],userID = 18,2867,1614,1223,704,405,238,1239,672
[김택용(토스)],userID = 19,1729,1042,651,412,128,80,950,550
[김경모(저그)],userID = 20,2129,811,996,371,869,344,264,96
[유영진(테란)],userID = 21,6849,3519,693,359,2972,1442,3184,1718
[장윤철(토스)],userID = 22,5327,3093,2256,1383,513,314,2558,1396
[변현제(토스)],userID = 23,4865,2572,1788,964,601,358,2476,1250
[김재훈(토스)],userID = 24,1458,686,716,334,177,92,565,260
[이영한(저그)],userID = 25,1859,978,924,441,705,414,230,123
[박지호(토스)],userID = 26,564,237,301,116,99,47,164,74
[이재호(테란)],userID = 27,4260,2557,373,210,1589,907,2298,1440
[최호선(테란)],userID = 28,1499,838,129,62,804,462,566,314
[구성훈(테란)],userID = 29,425,207,66,30,154,73,205,104
[이경민(토스)],userID = 30,3485,1430,1673,691,512,238,1300,501
[김성현(테란)],userID = 31,3271,2088,384,244,1270,811,1617,1033
[박성균(테란)],userID = 32,2587,1374,310,140,1117,554,1160,680
[흉X하늘X(토스)],userID = 33,716,367,333,171,77,37,306,159
[유진우(저그)],userID = 34,1081,521,527,222,446,230,108,69
[샤이니(테란)],userID = 35,2330,1353,283,183,933,544,1114,626
[노준규(테란)],userID = 36,140,57,9,2,103,41,28,14
[김승현(토스)],userID = 37,1483,641,564,260,366,164,553,217
[고석현(저그)],userID = 38,515,196,257,83,172,75,86,38
[김기현(테란)],userID = 39,11,1,2,0,4,1,5,0
[임진묵(테란)],userID = 40,1566,911,93,36,460,239,1013,636
[김태영(테란)],userID = 41,1345,684,138,71,688,357,519,256
[이카루스(테란)],userID = 42,161,73,15,6,66,26,80,41
[변형태(테란)],userID = 43,571,269,84,28,237,115,250,126
[박수범(토스)],userID = 44,1713,631,814,289,213,92,686,250
[염보성(테란)],userID = 45,581,262,34,14,274,122,273,126
